user,rating,date,review
Baptiste25,"4,0",17 décembre 2014,"Bon rapport qualité / prix ; design élégant et racé ; plutôt léger pour un 15,6"" ; performant.
Seul bémol qui doit concerner tous les ordinateurs : beaucoup de mises à jour et de programmes pré-installés inutiles... Comptez une bonne après-midi pour le configurer selon ses goûts."
Cocu C.,"3,0",16 janvier 2016,Fait ce qu on lui demande pour u  entrée de gamme. Mais mon ordi pro c est un ativbook 9 etquand je reviens a celui ci je le trouve super lent. Mais bon il y a 600 € de différence
Constance Chatelus,"1,0",9 septembre 2015,Cet ordinateur a lâché au bout de un an seulement : il ne s'allumait tout simplement pas. Il grinçait à l'ouverture et mettait beaucoup de temps à répondre aux tâches. Merci Amazon...
Nankissore B.,"5,0",18 août 2015,Ordinateur très beau et réactif je l'ai reçu rapidement et j'en suis ravi en plus avec la dernière mise a jour de windows 10 il est encore mieux !!
Idel,"3,0",7 octobre 2014,"Achat globalement satisfaisant destiné à une utilisation familiale, je m'attendais tout de même à ce qu'une carte son soit installée."
Hérault Frédéric,"5,0",23 novembre 2014,"Vraiment très bien , je ne regrette pas d'avoir acheté cette article , livrée rapidement , et très jolie niveau esthétique !!!!"
hamon,"3,0",16 octobre 2014,"Il est beau et tout à fait conforme pour surfer, pour la bureautique ...en revanche au secours windows 8 et 8.1 pour les néophytes!!!"
guy combes,"4,0",2 décembre 2014,commende recu dans les delais  tres bon article tres beau en blanc  s allume presque instantanement  pas de probleme pour l instant;content de mon achat
Aurélia,"2,0",3 septembre 2014,"Août 2014 : Colis reçu en parfait état.
Le pc est joli, simple d'utilisation et efficace pour une utilisation bureautique ++ (j'ai installé open office)  et internet. Par contre, Windows 8... J'étais habituée à l'efficacité de XP et 7 bah là.... La navigation internet est un enfer, des pop up à tout bout de champs et pas un seul logiciel spécialisé qui y fasse quelque chose. Donc le PC pourquoi pas mais je vous conseille d'avoir un geek sous la main qui puisse vous arranger 8.
Juillet 2015 : Après environ 1 an d'utilisation, un très gros bug quelques semaines après achat (de windows pas du PC) et le décès du pad de souris et de la touche ""alt gr"" il y a quelques semaines (soit même pas 1 an après achat), j'avoue que je suis très déçue! Samsung m'avait habituée à beaucoup mieux en rapport qualité prix!"
KUNICKI,"3,0",26 décembre 2014,"Très joli petit ordinateur qui a fait sensation lorsque je l'ai déballé, mais alors au secours le passage de W7 a W8... Laborieux ! Aucune aide pour la prise en main donc c'est très difficile de s'y accoutumer. Pourtant j'ai eu un pc avant celui la durant 7ans... Je ne peux même pas regarder des vidéos sur Youtube, ça me met ""erreur veuillez essayer dans 30min""... Aucune application de traitement de texte et l antivirus présent sur l'ordinateur (Norton) bloque tous les téléchargements... L'horreur. Heureusement que mon frère est calé en informatique ! J'invite les futurs acheteurs a effacer toutes les applications indésirables (y compris Norton) et d'en télécharger d'autres beaucoup plus appropriés a une utilisation sereine..."
R,"5,0",4 septembre 2014,"It does what it have to do, I like it! Expecially the anti reflect monitor... Everything as the description, enjoy!"
T'icia,"4,0",20 octobre 2014,"Article agréable sur le plan design ...
Prends temps de me familiariser avec Windows 8.1
Présentation agréable en elle_même ...
Produit que je recommanderai pour l'agente féminine."
LUTRAT SYLVAIN,"5,0",16 octobre 2014,"PC commandé un mardi après-midi, recu le jeudi matin !!
Très satisfait du produit qui est arrivé en parfait état.
Pas de surprise en ouvrant le colis.
Ordinateur très élégant et qui fonctionne très bien."
maxime verrier,"4,0",7 septembre 2014,"L'ordinateur est très agréable dans les manipulations. Ses performances sont tout à fait conformes à mes attentes. R.A.S.
Tout va bien"
Mireille WILLE,"3,0",30 août 2014,"la prise en main fut un peu laborieuse bien que je sois habituée à windows8. la première chose à faire: supprimer tout ce dont on n'a pas l'utilité puis télécharger l'indispensable.
perso je n'ai pas tellement tenu compte, vu les difficultés rencontrés au départ, des logiciels préconisés dans windows store. je me suis fiée aux valeurs sûres et tout va bien.
ne pas oublier l'indispensable protection de l'appareil.
design parfait. rapidité, fluidité... toutes les qualités d'un grand malgré son prix. finalement, alors que j'avais pensé le renvoyer, je ne regrette pas d'avoir persévéré."
