user,rating,date,review
BENOIT,"4,0",11 décembre 2018,"Livraison rapide, produit de qualité
Ancien Huawei p9 lite, je suis conquis
L'autonomie est super moi qui joue bcp aux jeux tu style yugi oh et dokkan, 70% de batterie après une utilisation de 9h00 à maintenant 14h00 !
Chapeau Huawei, je recommande"
CÉLINE ,"5,0",2 décembre 2018,Je recommande ce type de téléphone qui a toute les qualités que j'ai besoin
ManyVAVI,"5,0",15 décembre 2018,"Très content du produit. Après 2 semaines d'utilisation je suis agréablement surpris de la durée de la batterie malgré mon utilisation intensive. Après à voir sur la duree de vie globale du téléphone mais pour l'instant ravi.
Pour le reste niveau rapport qualité prix la capacité de stockage est satisfaisante pour avoir nombreuses applications et photos musiques et vidéos en quantité.
Je conseille donc ce produit"
Client d'Amazon,"1,0",18 mars 2019,"N'achetez pas ce téléphone si vous souhaitez utiliser une carte SD avec.
Le téléphone ne la détecte qu'aléatoirement, et la plupart du temps vous avez un message d'erreur ""carte sd endommagée"". Après en avoir achetée une neuve et constaté le même problème, il ne m'a pas fallu longtemps pour chercher sur internet et découvrir que ce problème est d’ampleur mondiale. Ce modèle est donc tout pourri. Je suis enchantée d'avoir découvert que le problème venait du modèle UNE FOIS QUE le retour Amazon n'était plus disponible. Merci Huawei pour m'avoir fais perdre mon temps et mon argent."
Maxime LELIEVRE,"5,0",22 mars 2019,"Après un mois d'utilisation, voici mon retour :
Les plus :
+ un écran de bonne qualité
+ une bonne autonomie
+ un prix correct
+ une bonne mémoire interne
+ des bonnes performances
Les moins :
- une surcouche Huawei un peu envahissante
- n'accepte pas les cartes SD (mais les NM)
- la carte NM prend l'emplacement de la seconde carte SIM"
MARQUANT,"5,0",31 décembre 2018,"Merci à Amazon mon téléphone est arrivé avec de l'avance.
Ce portable est vraiment super si vous aimez regarder des vidéos ou des films vu la taille de l'écran cela est vraiment agréable.
La durée de batterie est folle j'en ai été agréablement surprise.
Les photos sont très bien pour le prix de ce téléphone. Et il est très simple d'utilisation."
Rizou,"5,0",1 décembre 2018,"honnêtement je me tâtais depuis un moment et puiw j ai sautéle pas. très bon produit il n a rien a envier a ses concurents americain et coréen. il a tout alors foncez !!!
livraison au top super rapide arrivée 3jrs plus tôt, vendeur serieux rien a dire"
Julien Dequaire,"3,0",23 mars 2019,"C'est un téléphone de qualité mais qui a encore des lacunes importantes à combler, notamment en terme de qualité photo, qui laisse à désirer.
J'applaudis tout de même l'effort de Huawei pour cet article vendu au prix de ce qui est aujourd'hui du bas de gamme. J'en étais satisfait mais j'ai dû le retourner pour un défaut au niveau du chargeur (il n'y avait pas de retour).
Je pense réessayer cette marque plus tard sur des modèles ultérieurs."
Louis Moll,"3,0",11 janvier 2019,"Pour 300e je pense que c'est un excellent rapport qualité prix.
Cependant son prix se traduit par un ecran moyen, un appareil photo vraiment pas terrible et une lenteur assez remarquable surtout dans des applications comme Snapchat ou Instagram.
L'autonomie est bonne mais pas meilleure que sur mon One plus 6T.
Design très propre, taille confortable. Pour son prix peut être plutôt se tourner vers un Honor Play ou Pocophone."
Emeline,"5,0",15 avril 2019,"J’aime beaucoup.
Le déverrouillage par empreinte.
La qualité photo.
La qualité de l’image.
Interface simple et neutre.
La grandeur de l’écran.
La finesse du téléphone.
Cependant
La qualité du son est à améliorer.
Le maintient de la charge également.
Je vous recommande bien sûr sans hésitation."
rouat celena MR LAMY VINCENT,"5,0",22 mars 2019,J'avais le p20 lite il m'a lâche en 4mois la carte mer à lâche je cherche un téléphone qui soit plus performant et je suis tombé suis selui la niveau prise en main rien a dire les photos sont parfaite ensuite je viens de l'achète à mon marié car il et juste parfait le prix et attractif je recommande il et plus que parfait le deuxième que j'achète en 4jour 😂
N3D0R,"5,0",9 avril 2019,"Je ne suis pas une utilisatrice très experte : j'utilise mon smartphone pour aller sur internet et les réseaux sociaux, organiser mon emploi du temps et mes voyages, la base. Je dirais que j'en ai une utilisation active (écran allumé) environ 2h30-3h/jour.
J'ai ce terminal depuis un peu plus de 6 mois maintenant et j'en suis très satisfaite :
> Charge rapide (grosso modo 1h pour 100%, vive USB-C) qui me dure deux jours avec encore un peu de marge
> Bel écran
> Bonne fludité même avec plein d'apps ouvertes (hors gaming que je n'ai pas testé)
> Dual sim pratique pour les voyages
> OS agréable
Si je dois donner des points négatifs :
> Photos OK mais sans plus
> Difficulté de trouver une vitre de protection qui couvre la totalité de la surface de l'écran (ou alors je suis nulle ^^)
En bref, je l'ai acheté 150€ plus cher que ce qu'il vaut à présent et même à ce prix là je trouve qu'il vaut le coup donc maintenant il est clairement hyper intéressant !"
Alban,"5,0",14 mai 2019,"Si vous ne jouez guère, ne comptez pas sur l'appareil photo pour faire des chef d'œuvre, il est fait pour vous !!
Je suis super satisfait de ce téléphone construit très sérieusement. Seuls les boutons latéraux de son et d'allumage demanderai à être retravailler. Ergonomique ment parlant il rivalise avec ses collègues deux fois plus cher, il est agreable au touché et réactif au niveau de l'écran.
La batterie est exceptionnelle vous serez ravi de la durée d'utilisation dont vous bénéficier.
Côté photographie la qualité n'est pas à la hauteur néanmoins si vous demander simplement des résultats modeste. il fait largement le job.
Pour mon utilisation massivement orienté internet et lecture vidéo il est génial et peu cher.
Sans regret investir plus ne vaut pas le coup.  Le lecteur d'empreinte marche extrêmement bien aussi.
Livré dans une simple boîte avec chargeur, casque micro petite aiguille pour la trappe à carte sim et une protection plastique pour l'écran (ce n'est pas un verre trempé) mais j'apprécie le geste.
Pas de manuel d'utilisation ou de mise en route, seul le plastique de protection au dos du téléphone vous indiquera comment procéder pour insérer la sim dans son logement. C'est un peut court de ce côté là après si vous êtes familier d'Android il n'y a rien à savoir de plus.
Profitez en bien. Message écrit avec ce téléphone."
Auriaux Claude,"3,0",21 janvier 2019,"Qualité des photos insuffisante pour un appareil de cette game. La notice téléchargée n'aborde pas la totalité des fonctions (gestion du carnet d'adresses, passage carte SD et mémoire propre ...  par exemple"
Lili09,"5,0",28 avril 2019,"Bon téléphone. Biensur c'est pas un téléphone haut de gamme. Il est super super d'abord il est beau, et très facile d'utilisation. Pour moi qui aime voir les vidéos et les films grâce à son grand écran il est très bien. Le top c'est la durée de la batterie qui me dure 2 jours sans problème avec une utilisation correcte. Pour les photos il est très bien. Franchement vu son prix je recommande sans problème. Merci Amazon pour son envoi soigné et rapide arrivé un jour avant."
Elizabeth,"5,0",5 avril 2019,"Après beaucoup d hésitation j ai acheté ce téléphone
Et je suis ne suis  absolument pas déçue. Bien au contraire.
J 'apprécie le grand écran  la grande capacité de stockage la prise en main très simple. Et l' appareil photo est tout simplement génial. Je me régale  pour la qualité de l image et les différentes fonctions
La batterie tiend bien ses promesses. Je recommande ce téléphone
Merci au vendeur  pour l 'envoi très rapide et à sa réactivité suite à une demande
Merci à Amazon"
Scarano domenico,"4,0",29 mars 2019,"je suis satisfait du fonctionnement du smartphone Huawei mate 20 lite répond bien le son ça va prise en main faut faire attention si vous avez de petite main ces pas mon cas mes d'autres l'on essayé et constater que il est grand si non impeccable jusqu’aujourd’hui  l'autonomie tiens 5 jours avec mon utilisation
il manque la carte sd qui doit être fournie avec."
Sylvie ZABOTTI,"5,0",2 mars 2019,"Téléphone très facile en mettre en route, choix des applications, chargement rapide en remplacement de mon SAMSUNG S4 qui n'avait que 16 GB donc limité pour mettre des nouvelles applis. Reçu à la date prévue. Prix promo à 259 € couleur OR."
slania,"5,0",1 juin 2019,Je possède un redmi note 7 et je viens d'offrir a madame  le mate 20 lite. Ayant tester les 2 je trouve que le mate 20 lite a quelques qualité supérieur au note 7 .Il est plus fin la qualité photo de jour est un rien supérieur. Niveau autonomie les 2 sont très endurant.Niveau puissance CPU et GPU ils sont très proche (140000 Antutu) Wifi et 4G parfait bref les 2 se valent.Le mate 20 lite est toujours de base sur Android 8.1 le 9 devrais voir le jour très rapidement.Pour info Compte google et play store tout y est no stress entre les ricains et les chinois a ce niveau là. Bref madame est sous le charme de ce mate 20 lite
Davina,"5,0",19 mai 2019,"Après deux jours d'utilisation je suis conquise, j'avais p9 lite j'ai fais un clonage de mon ancien téléphone et j'ai retrouvé presque tout sur le nouveau (sauf les codes applications lol j'ai galéré un peu du coup) j'en suis ravie et le recommande et je l'ai reçu très rapidement commandé jeudi soir reçu samedi matin"
Piafette01,"5,0",22 janvier 2019,"Acheté pour remplacer un Samsung S7 il fait très bien son travail. Je le trouve même + intelligent que Samsung au niveau de la rédaction des SMS avec l'écriture prédictive et même la proposition d'emojis automatiques en fonction de ce qui est écrit.
La batterie tient 2 jours complets même avec 1 utilisation assez intensive.
Son grand écran est agréable pour regarder des vidéos (c'est pour cela que j'ai préféré prendre le Mate que le P20)"
