user,rating,date,review
Yang,"1,0",4 novembre 2018,"On ne sais pas si c’est un téléphone neuf car La garantie Apple se termine le 26 janvier 2019 donc le téléphone a été activé avant, normalement la garantie dure 2ans. Par rapport au site Apple, il nous amène à penser que la garantie Apple se fait via la l’activation et la désactivation. Comment  doit on prendre ses informâtion"
Mdo32,"1,0",13 mars 2019,"Scandaleux !!!! Au bout de 3 mois, la capacité de la batterie est déjà descendue à 95% ce qui n’est pas NORMAL. Elle perd 1% cassement tous les jours depuis 3 jours alors que son prix est quand même très élevé !!!!! Sachant que je charge mon téléphone 1 fois par jour et surtout jamais la nuit pour ne pas abîmé la batterie. Malheureusement même avec ses efforts, rien n’y fait on dirait un téléphone reconditionné. JE NAI PAS ACHETÉ UN IPHONE À PRESQUE 700€ pour que la batterie soit morte au bout de 7mois."
Client d'Amazon,"1,0",18 décembre 2018,Il ne s'agit pas d'Iphone 8 Plus mais d'un Iphone 8 classique ! Le titre du produit est mensonger et je n'ai toujours pas de nouvelles de mon retour produit après plus de 15 jours !! Je déconseille vivement !
Cerdan,"3,0",27 septembre 2018,"Sincèrement c'est cher pour ce que c'est, résolution à peine Full HD... alors que sur un Elefone S8 acheté pour faire GPS l'écran affiche une super résolution de 2K sur Youtube sur mes vidéos par drone sont 2 fois plus belles sur l'Elefone qui coûte ~200 euros... on est loin de la révolution... l'avantage pour filmer avec mon DJI Mavic Pro, la luminosité de l'iphone est un peu supérieure à la dalle SHARP de l'Elefone ou certains autres téléphones que j'ai du coup je l'ai pris juste pour ça, sinon iPhone c'est dépassé pour moi, désolé... surtout que les 4 derniers ont tous rendu l'âme en moins de 2 ans... le dernier 2 ans et 2 mois, bref pas fiable pour moi, pourtant je n'en fais pas grand chose (jeux ou autre)... juste filmer et appeler..."
LucileK,"5,0",2 octobre 2018,"J’ai mis du temps pour me le prendre et sans regret je le conseille.  C’est un véritable iPhone d’Apple avec écouteurs intégrés et toute la panoplie.  Le prix le plus bas du marché je recommande vivement,  il fonctionne très bien il est parfait"
Amazon Customer,"4,0",7 juin 2018,"Produit neuf, bien emballer faut pas hésiter à commander, reçu très rapidement.
Merci"
Lévy Habouzit,"5,0",18 juin 2018,"Produit belle et bien neuf non reconditionné
sous son blister apple et avec tout les accessoires classique, je recommande, le prix est plus que raisonnable pour le produit en question"
Lolly77,"5,0",15 avril 2018,"Beau design, livraison rapide ( j’ai payé pour la livraison express en 2jours). Télèphone bien emballer sous blister avec tout les accessoires. Satisfaite un seul bémol la batterie qui ne tient pas tant que sa!!! Vraiment dommage.
Merci"
VVV,"1,0",29 novembre 2018,Promotion c est pas le même produit livre
Med,"5,0",4 avril 2018,Reçu rapidement vendeur sérieux ( A Montain) acheté reconditionné comme neuf le téléphone ne représente aucun défaut pas de rayures dans sa boîte d’origine pour le prix que j’ai payé ça vaut le coup j’ai 30 jour pour le tester
