user,rating,date,review
vanderschelden,"5,0",8 février 2019,Bon téléphone batterie tien deux jours mémoire super a par la luminosité qui diminue et revien tout seul il va nickel et prix très interresant
MARCHAND N.,"5,0",8 mai 2019,excellent portable à prix raisonnable. Je l ai acheté pour ma fille en remplacement d un iPhone 5.La charge de la batterie tient longtemps l appareil photo est bon.je le recommande
amateur d'Arts,"4,0",24 mars 2019,"J'aurais apprécié le mode d'emploi en Français parce que je ne suis pas particulièrement ""intuitif""!"
cailloce,"4,0",5 janvier 2019,Téléphone facile à prendre en main car habitué au Samsung.
Zoia,"5,0",4 février 2019,"Superbe smartphone, très bon rapport qualité-prix, j'adore la taille de l'écran c'est parfait pour visionner une série ou film, je le recommande vivement"
geronimi stephane,"5,0",2 juin 2019,Super
Client d'Amazon,"3,0",26 avril 2019,"Telephone super à la réception mais depuis que je l'ai reçu,  sauf que depuis hier impossible de déverrouiller le clavier 😕, il a beugé et je ne peux plus m'en servir.
Comment ça se passe dans ce cas-là ?? Il est neuf reçu il y a même pas deux mois 😤😤"
carnis,"5,0",8 janvier 2019,Tro bien
Mumu ,"4,0",6 février 2019,Usage personnel
Azouzi Mohamed,"5,0",10 décembre 2018,Pour appelle mais proches Ami Est mont patron
Moyen,"5,0",7 avril 2019,Très bon téléphone. Très bon rapport qualité prix
Client d'Amazon,"1,0",17 mai 2019,"Apres 2 mois d'utilisation normal, le téléphone dois etre envoyer au constructeur SAMSUNG car le micro ne fonctionne, aucun son audible n'est émis…...c'est à dire que je peux appeler mais on ne m'entend….pratique pour un téléphone!!!"
Julia,"5,0",14 avril 2019,Super produit
Sabine Adam,"5,0",4 juin 2019,"Conforme à la prescription
Téléphone neuf sans aucun problème"
lauda44,"1,0",28 mai 2019,panne de chargement en mai alors qu'acheté en avril. Nous devons appeler Samsung qui nous envoie dans un magasin de réparation. bravo :(
guy,"5,0",19 janvier 2019,le seul problème j attente la facture avec impatience. merci de votre comprehension.
lugon françoise,"5,0",10 janvier 2019,j en suis ravie
