user,rating,date,review
Client d'Amazon,"4,0",8 avril 2019,"Excellent produit. très beau. Fin. Qualité d'image parfaite. Hyper facile à configurer. Très performant. Pour leprix, il n'y a pas mieux. En ce qui me concerne, je l'ai renvoyé car Motorola a retiré certaines configurations sur le Wifi et de ce fait, je ne peux plus connecter mon drone à mon portable. C'est vraiment dommage."
Fournel François,"5,0",5 juin 2019,"Très bon téléphone comme un haut de gamme avec la qualité photo en moins (double capteur au lieu de 3) et un processeur moins véloce (uniquement nécessaire pour les gamers et les gameuses). A l'usage quotidien, parfaitement fluide. Écran très moderne, lumineux et de qualité. Le gap de mon moto x de 2014 est flagrant sur l'écran et les perfs.
Très bon produit pour son prix. Autonomie une journée entière en usage normal (pas ou peu de jeu) à l'aise.
Encore une fois, Amazon me l'a envoyé en un éclair. Service béton."
Didier,"5,0",26 mai 2019,"Je suis iPhone et pour mon travail il me fallait un androïd pour une application de mon client. Je ne voulais pas mettre trop d'argent et je suis tombé sur ce smartphone. Il est parfait, répond vite, fluide ce qui me surprend encore! Je recommande ce smartphone!"
GRIMANA,"4,0",10 mai 2019,"belle construction,façile à utiliser,6 jours d'autonomie sans recharge,mais pour cela le poid se fait sentir,avec en plus plein de fonctionalité que l'ont ne trouve pas ailleur."
Manu75,"5,0",28 mai 2019,"Acheté à - de 200€, fluide, bel écran lumineux, aspect qualitatif, Android stock sans surcouche pénible, juste quelques outils pratiques signés ""Moto"", et surtout une batterie de 5000mAh vraiment increvable, je tiens souvent 3 jours dans une utilisation normale (tout dépend bien entendu de l'utilisation). Super avec Microsoft Launcher. Et quel plaisir de ne pas avoir un Samsung comme Mr Tout le monde :). Bref, je ne regrette certainement pas mon achat !"
Alain,"5,0",31 mai 2019,Pour le prix je la je n'avais jamais vu un téléphone aussi remarquable solide comme incroyable je ne trouve pas les mots impeccable fonctionne sur tous les points
abdelhamid tahar,"4,0",1 avril 2019,Produit raisonable pour amateur de motorola sous android avec recharge rapide mais ce qui ma déplu le telephone au bout de quelque jours deviens un peu long spporte pas trop d'application gourmande.
JC B.,"4,0",28 avril 2019,"Modele conforme a la description, sans NFC je crois (modele XT1955-4). La prise en main est agreable, le plus est la batterie de 5000 mAh. Pour l'instant apres juste une journee d'utilisation je suis tres satisfait du produit, c'est un modele basique sans fioritures mais avec beaucoup d'autonomie. Cette autonomie sera tres appreciable pendant de longues randonnees."
Yuko Mitani,"5,0",18 mars 2019,"Pour la gamme de portable moins de 300 euros, Moto G est imbattable."
Chtidoc,"5,0",2 juin 2019,"Comme toujours chez Motorola: un appareil de qualité, très fonctionnel, simple d'utilisation, beaucoup d'aides facilitant l'usage. J'espère qu'il me restera fidèle longtemps (ce que je crois car mes précédents Motorola sont toujours ""en vie"" !"
Jourdain,"5,0",20 mars 2019,ok
ML,"4,0",29 mai 2019,"Je suis passé un peu laborieusement du G5+ à ce G7. C'est moins bien confortable que sur un iPhone.
Ça le fait, mais, mais, mais, il y a un petit cliquetis sur le bouton de son.
Je ne sais pas si c'est normal, ou pas. Est-ce grave, docteurs ?"
Victor Juan,"5,0",25 mai 2019,"Depuis quelques jours d'utilisation, j'en suis très satisfait. Je l'utilise avec 2 SIM's et une carte memoire. Pas de risque de vider la batterie un jour de forte utilisation. Prestations plus que bonnes aussi."
Client d'Amazon,"5,0",27 mai 2019,"J'avais le G6 et n'ai pas hésité à me lancer avec le G7.
Bon téléphone, qualité de photo très bien.
Je recommande ce téléphone."
L.S,"4,0",21 mars 2019,Petit bémol sur l'encoche de l'écran que je n'apprécie pas particulièrement. Impeccable sur le reste.
Marlène GUERIN,"5,0",26 mai 2019,Motorola est une marque sûre et ce portable et parfait
