user,rating,date,review
Bruno L.,"5,0",21 décembre 2018,"Super smartphone à tous les points de vue : finitions, solidité, esthétique, compacité, prise en mains, puissance. Les deux seuls bémols : le poids (mais on s'habitue) et la difficulté à bidouiller (root, ROM alternatives style LineageOS : les DRM Sony risquent de rendre l'appareil photo inutilisable, ce qui serait dommage). La conséquence, c'est pas d'antipub efficace et le fait d'être tributaire de Sony pour les mises à jour. Pour l'instant, on est passé à Pie, mais dans 3 ans ?"
TDYL,"4,0",15 janvier 2019,"Ce téléphone est un excellent choix après un I-phone, la qualité des photos et top. bien plus lumineux que ma précédente pomme. la gestion de la batterie est optimale. la taille est suffisante pour une utilisation de video et jeux tout en pouvant tenir dans la poche avant du pantalon. les seuls bémols, OK Google est moins performant que Siri pour le déclenchement d'Apps, et la compatibilité avec le système téléphonique de ma voiture. mais pour le dernier, je ne suis pas sur que ce ne soit pas du à l'âge du véhicule."
Eric,"5,0",20 décembre 2018,"La qualité Sony est au rendez-vous à tous les niveaux des composants à la fabrication. Le modèle compact est très agréable en main et se faufile dans toutes les poches avec aisance. Le lecteur d'empreintes est très réactif et très sécurisant. Tout le descriptif du téléphone est vrai que ce soit au niveau de la photo, de la vidéo, la qualité des enceintes ainsi que la définition de l'écran. L'autonomie de la batterie est très correcte. C'est un vrai bonheur d'avoir ce téléphone en compagnon de tous les jours. Merci aussi à Amazon pour avoir été au top dans les délais de livraison."
KCO Pro,"5,0",5 avril 2019,"Génial ! C'est exactement le smartphone que je voulais : puissant, petit format, tient bien en main, écran clair et précis, photos de qualité...
Juste 2 surprises :
1. J'ai dû formatter ma carte mini-SD pour qu'elle fonctionne avec le téléphone.
2. le format de l'écran est plus allongé que les formats habituels, du coup le format des photos aussi... mais on s'habitue très vite.
Sinon, ravi de cet achat !"
Julien P.,"5,0",12 avril 2019,"Voilà un téléphone très performant niveau CPU, RAM, et batterie.
Et surtout, PETIT !! Marre de ces planches de surfs de plus de 5pouces!"
dref64,"5,0",15 mai 2018,"Excellent telephone android de Sony, plus compact que les autres haut de gamme meme si plus grand que le Z5 compact précédent, tout aussi puissant qu'un autre haut de gamme. Je reste fidèle à Sony"
CC,"5,0",5 août 2018,"Utilisation pro et perso (dual sim), reception parfaite, rapide et fluide, très bonne photo. Un look un peu ""rétro"" qui sort de la mode des modèles XXL - c'est sympa. Bonne tenue en main et gabarit adapté aux poches. Pas de souci pour le poids, certains exagèrent un peu. SONY conserve son rang de leader."
Angie,"5,0",30 décembre 2018,"Vraiment un bon téléphone de qualité
Dommage qu'il soit si cher et aussi épais (mais ça permet une bonne prise en main"
AlexandreP,"5,0",9 avril 2019,"Simple petit et efficace, belles photos en plein jour et pas trop mal lorsque c est en intérieur. J adore sa taille qui permet de tout faire à une main et qui rentre dans toutes les poches. Super"
Metzler Geoffrey ,"5,0",11 mars 2019,"Très bon smartphone compact, top à tous les niveau photo comprise,tombe très bien dans la main, juste un peu épais sur la version compact"
V.,"4,0",1 novembre 2018,"Bonne tenue en main, design satisfaisant. Puissant."
Anne,"3,0",3 septembre 2018,"Bonne taille (pas trop grand), mais assez épais (12 mm vs 7-8 mm I-Phone) et assez lourd. A considérer lors de l'achat.
Performances semblent très bonnes."
Lionel,"4,0",20 décembre 2018,"Très bon produit sincèrement. Il reste dans la ligné des précédent Xperia compact. Il reste très bon dans les performance. Autant en réactivité qu'en qualité d'image et prise photo.
Seul bémol, il suit la tendance. Il prend quelques mm de plus à chaque nouveau Compact que Sony sort. Dommage."
Bulin,"5,0",3 février 2019,"Bon smartphone, compacte, fiable, sombre ! Un smartphone aussi puissant et efficace que les smartphone haute gamme pour un format plus compact et un prix raisonnable ! Utilisation depuis plus d'un moins aucun soucis !"
Romain,"5,0",27 août 2018,"Acheté pour ma femme car elle recherche des ""petits"" smartphone sous Android, il est juste parfait même si son épaisseur est un peu prononcée. Elle utilisait déjà un modèle compact dans la série des Sony. Celui-ci est idéal en photo avec une belle réactivité. Pour le reste à voir sur le long terme."
Seb,"5,0",10 mars 2019,"Excellent smartphone, superbe écran, fluidité impressionnante, jolies photos, un peu lourd mais c'est un détail et puis ça donne une impression de solidité plutôt appréciable !! Juste l autonomie aurait pu etre meilleure !!
Très satisfait de mon achat !!"
Pierre Antoine,"4,0",26 juin 2018,"Compact avec une grande qualité photo, audio, et rapidité de navigation très agréable, ce XZ2 est une réussite. Un seul bémol, son épaisseur et son poids, mais la forme participe à une bonne stabilité de prise en main."
david,"4,0",27 décembre 2018,Excellent téléphone. Performance au rendez vous. Taille raisonnable loin des standards hors norme du moment. Un peu épais effectivement un effort aurait pu étre fait a ce niveau mais bon la prise en main n'en est que meilleure.
SK,"4,0",3 décembre 2018,"bonne prise en main, telephone un peu lourd, c'est la concession a faire pour avoir un compact. mais le poids n'est pas penalisant. enfin, le site amazon indique une batterie a 3 180mAh alors que le site officiel indique 2 780 je crois....à verifier"
Client d'Amazon,"5,0",16 février 2019,"Rien à dire, il est top. Après 9 mois d'utilisation, j'en suis super content. Pas de bugs, mis à jour sous le dernier android Pie. Je conseille sony du coup."
