user,rating,date,review
Danwind83,"4,0",12 décembre 2018,"Bonjour,pour ma part j'ai pris ce chromebook en 14',écran HD,8Go de Ram.il est léger,fonctionnel,bonne autonomie,rapide.le playstore est relativement complet,quasi identique a un smartphone androïd,la naviguation est très fluide,la lecture de vidéos aussi.ce chromebook est bien pensé avec une adaptation a chrome OS relativement courte.j'espère qu'il sera fiable dans le temps..."
Client d'Amazon,"5,0",16 décembre 2018,"Je les achètès car j'avais besoin d'un ordi pour travailler et naviguer sur Internet.
Certe il n'a pas de port HDMI mais ce n'est pas grave du tout..
Je suis content de cette ordinateur ."
Maman et Loulous,"5,0",10 février 2019,"j utilise l ordinateur pour faire des blog ,rédiger des texte et après pour aller sur les applications grace au playstore de Google
ordinateur léger solide écran tactile réactifs un bon ordinateur chrombook je suis contente de mon achat"
KIPY,"4,0",18 avril 2019,"C'est un chromebook avec ses qualités et ses défauts. Ne pas payer trop cher car les perfs sont juste adaptées au surf sur le net, l'écran n'est pas exceptionnel ni en luminosité, contraste ni en définition. L'autonomie correcte sans plus. Il faut être familier avec l'écosystème chromebook pour les tâches de la vie quotidienne : bureautique, impression, accès réseau, clavier spécifiques tout comme les raccourcis... A réserver aux experts donc."
Lucas Desvages,"5,0",17 mai 2019,"C'est mon premier Chromebook et j'en suis très satisfait ! Il est performant et très élégant. Il est un peu lourd, 1kg5, mais facile à manipuler, à passer d'une position à une autre. Cette ambivalence le rend super pratique. Chrome OS n'est pas un frein si on connaît un minimum Android. Il est je pense aussi adapté aux utilisateurs peu à l'aise avec un ordinateur. L'écran est très bon, mais je ne l'ai pas encore testé en plein jour, sous forte luminosité. L'autonomie semble correspondre à ce qui est annoncé. Le clavier et le pad sont agréables mais ça reste subjectif.
Je le recommande, même si son prix peut paraître élevé comparé à d'autres Chromebook ou Pc portables sous windows. C'est un produit plutôt haut de gamme"
Lino,"3,0",15 janvier 2019,Le Pc a été livré dans les temps et correspond bien à la description. Je l'ai acheté pour mon fils en 6eme et la prise en main à été bonne. Seul point négatif est la résolution qui est peut être lié à la carte graphique. Du coup le rendu écran est un peu pâle.
Kevin,"4,0",22 février 2019,"Pas facile le passage de window à chrome OS, surtout depuis qu'on connait win 95...
Très content de mon achat, léger, maniable, pratique, ultra rapide, aucun bruit de ventilation,...
A recommander pour ceux qui hésitent encore.
Le seul petit hic, est le transfert de données via USB et qui nécessite l'installation d'un programme. Par exemple : Garmin express dans mon cas.
Je n'ai pas encore trouvé comment transférer mes données de mes GPS vélo/montre, sur mon chromebook..."
Mireille,"5,0",22 janvier 2019,"Bien pour une activité dans l'environnement Chrome, peut être déroutant au début si on est habitué a autre chose. Leger,
pratique pour un usage sur les genoux et dans l'environnement Chrome."
Client d'Amazon,"4,0",28 avril 2019,"Utilisation d'internet et messagerie, gestion personnelle, word et excel (en option) . Chromebook est une alternative à windows qui demande une adaptation à son utilisation sinon c'est bien conçu et assez complet. Beaucoup de logiciel ne sont pas compatibles et c'est dommage."
stone,"4,0",12 février 2019,"Achetez pour ma mère , j’avais une appréhension vu que c’est de l’androïd mais au final c’est nickel. Je recommande. Il fait le job, il est beau et moderne"
